Late Pass,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Midterm,Letter Grade,Grade
1,69.5,51.75,63.5,83,70,79,10,5,0,0,9,0,7,7.4047619048,D+,High-risk
1,73,83,60.5,86,100,102,3,3.5,0,5,9,4.5,3.5,3.6666666667,D,High-risk
1,97,88,100,96,107,99,5,0,6,6,3,7.5,6,7.7142857143,B,OK
0,89,98,74,65,60,79,7,0,5,3,9.5,8,5,4.1904761905,D-,High-risk
0,99,86,56.5,0,0,0,10,9,4,6,8,6.5,5,5.4047619048,F,High-risk
1,81.25,85.75,92,86,84,101,10,9.5,9,1.5,10,8.5,5,8.5714285714,C+,High-risk
0,59.5,80,74.5,60.5,73,86,8,4.5,5,5,7.5,6.5,10,4.0476190476,D,High-risk
1,101,96,103,85,112,92,10,5.5,8,9.5,10,8,3,9.8571428571,B-,OK
0,90,91,108,98,98,77,10,10,10,10,10,10,5,10.4285714286,B,OK
1,92,85,98.5,84,87,98,7,8,3,10,10,7,3.5,11.8571428571,B-,OK
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,High-risk
1,77.5,85,102,98.5,87,110,10,7.5,6,0,10,9.5,5,13.4285714286,B+,OK
0,101,96,97,95,91,94,10,10,6,10,9.5,10,8,10.7142857143,A-,OK
0,72,88,80.5,75.5,62,78,10,9,10,4,10,8,7,12.2857142857,C,High-risk
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,F,High-risk
2,0,81,0,72,95,91.5,5,0,4,2,6.75,6.5,1,5.7142857143,F,High-risk
1,102.25,88,110,97.75,95,96,10,4,0,0,9,8,6,8.7142857143,B,OK
1,102.75,89.5,90,94,75,59,10,10,9,9,10,10,7,9,B-,OK
0,106,108,94.5,98.5,90,100,10,10,10,9.5,10,8,0,11.5714285714,A,Good
0,98.25,104,81,96,99,94,10,10,6,6,10,6.5,10,11.2857142857,A-,OK
0,110,107,99.5,105,98,104,7,2.5,2,4,0,6,0,8.5,C+,High-risk
1,97.5,110,99,85.5,100,101,10,8.5,10,9,10,10,8.5,13.2857142857,A,Good
1,104,95,105,94.5,85,99,7,6,10,9,8.5,0,5,15,A,Good
0,0,74,101.5,0,0,0,0,2,2,8,9,0,0,6.8571428571,F,High-risk
0,34,0,0,0,0,0,7,0,0,0,0,0,0,0,F,High-risk
0,99,99,94.5,98,99,95.5,8,7.5,10,4,10,8,10,14.1428571429,A,Good
0,64,66,52,93,89,94,5,3,3,2,5.5,4,2,3.619047619,F,High-risk
1,105,102.75,89.5,73,104,105,10,7,0,7,10,6.5,6.5,9.0476190476,B,OK
0,99.5,95.75,96.5,100,99,104,7,10,10,5,10,7,5,9.8571428571,B+,OK
1,73.75,105.5,87,94.5,92,91,10,4.5,4,8,9.5,6.5,2,5.7142857143,C+,High-risk
1,102,98,101.5,78,66,100,10,6.5,8,3,10,9.5,5,6.1904761905,B-,OK
0,70,80,83.5,98,93,100,8,5,9,1.5,6,8.5,5,4.8571428571,C,High-risk
0,89,73,87.5,89,96,81,10,1,3,3,9.5,6,7,6.8571428571,C,High-risk
1,110,100.5,105,102,110,107,7,6,10,2,3,6.5,7,7.7142857143,B,OK
1,73,97,73,75.5,85,77,5,8,9,7,10,7.5,5,9.5714285714,D,High-risk
1,97.5,99,102,105,83,97,10,6.5,8,9,10,10,10,10.9523809524,A-,OK
1,68.75,99.5,88.5,75,96,87,5,10,6,1,9,9.5,1,5.4285714286,C+,High-risk
0,104,102,106,105,108,107,7,8,10,7,9,10,6,15.64285714,A+,Good
0,93,100,73,80,105,92,5,1,0,10,6.5,5,6,5.142857143,C+,High-risk
1,58,107,82,98,108,91,4,6,5,9,7,4,6,6.857142857,C+,High-risk
0,85,110,95,93,107,94,5,5,6,9,10,10,9,12,A,Good
2,86,49,76,74,98,77,5,8,6,6,0,2,9,15.85714286,B,OK
0,69,37,58,63,65,86.7790432801822,5,3,4,2,8,5,0,6.428571429,F,High-risk
0,95,106,64,76,107,74,5,0,0,9,0,0,0,8.571428571,F,High-risk
0,81,78,89.5,103,103,104,3,8,10,9,9.5,9,7,9.857142857,A-,OK
0,91,94,97,102,106,101,5,9,6,8,8.5,10,0,13.71428571,A+,Good
0,86,73,98,100,108,97,6,3,4,8,8.5,10,9,4.714285714,D+,High-risk
0,87,85,94,98,88,99,6,10,4,7,8.5,10,7,10.71428571,B+,OK
0,53,72,70,88,100,101,0,0,5,0,7.5,4,6,5.571428571,D,High-risk
2,0,45,76,84,81,91,0,5,10,8,9.5,10,6,5.571428571,D,High-risk
5,93,110,98,97,98,99,8,9,10,10,9.5,10,3,15,A+,Good
0,83,101,90,97,103,90,6,8,10,10,10,10,9,12.85714286,B+,OK
0,96,89,94,94.5,81,87,7,8,8,9,10,10,9,12.85714286,B+,OK
0,30,39,0,0,0,86.7790432801822,5,7,4,0,0,0,0,0,F,High-risk
0,81,79,91.5,99,100,93,7,7,6,6,9.5,7,5,9,C+,High-risk
0,94,100,90,94,89,93,9,9,10,7,9,10,4,10.71428571,B+,OK
1,52,77,41,43,0,69,0,6,0,0,0,0,0,5.142857143,F,High-risk
0,98,101,93,96,106,109,7,5,0,10,0,10,7,13.5,A,Good
0,0,0,85,89,94,102,5,0,4,8,7.5,3,1,6.428571429,F,High-risk
0,83.8241685144124,86.7316666666667,84.0044345898004,84.608574610245,89,86.7790432801822,7,5.85269174040708,6,5.96128318584071,6.90686169932633,6.32199566081831,5.3959034993282,0,F,High-risk
3,0,91,62,69,90,86.7790432801822,5,0,0,3,0,0,0,5.142857143,F,High-risk
0,104,100,94,86,94,99,5,5,0,3,9,5,5,10.28571429,B,OK
0,102,102,107,103,108,110,7,9,10,0,8.5,9,9,12.64285714,A+,Good
0,105,101,107,106,108,100,7,10,10,7,10,5,9,10.71428571,A+,Good
0,90,84,87,98,94,89,5,9,10,10,8,10,9,8.571428571,B+,OK
2,89,47,74,86,89,90,7,5,7,6,9,10,0,12.42857143,B,OK
0,101,98,101,105,77,109,7,10,6,9,10,6,7,12.42857143,A+,Good
0,102,109,100.5,103,108,105,4,7,6,10,8.5,8,9,15,A+,Good
0,0,0,0,60,85,69,0,0,0,0,0,0,0,1.714285714,F,High-risk
0,76,75,80,84,88,85,3,3,8,5,5,0,4,6.857142857,D+,High-risk
0,91,93,93.5,98,94,96,4,8,6,8,9,10,9,8.142857143,B,OK
2,101,82,80.5,87,108,103,5,8,6,9,10,9,8,10.71428571,B+,OK
0,51,58,78,69,90,89,5,7,5,7,9,5,8,1.714285714,D-,High-risk
0,90,106,94,84,96,108,6,6,10,8,10,10,9,11.35714286,A+,Good
2,91,86,86,91,87,89,7,8,6,7,9.5,10,9,10.92857143,B,OK
0,93,105,87,98,108,94,5,9,7,9,3.5,6,8,15,A-,OK
0,74.5,91,83,93,99,98,7,7,6,8,7,8,9,14.14285714,A-,OK
0,89,98,65,86,83,94,6,9,6,8,9,10,8,7.5,C-,High-risk
0,104,94,91,86,87,94,10,6,10,8,9,10,9,13.71428571,A,Good
0,104,101,107,105,108,109,7,9,10,10,8.5,10,9,16.28571429,A+,Good
0,93,91,94,98,108,93,8,4,6,8,9.5,9,9,16.28571429,A+,Good
0,99,106,100,105,108,98,10,9,10,10,9,0,0,15,A+,Good
0,76,105,86,101,107,96,6,5,5,9,4.5,1,2,8.142857143,C-,High-risk
0,97.5,98,96,98,108,106,7,3,6,8,9,7,1,9.428571429,B-,OK
0,101,110,98.5,103,108,97,6,4,4,10,8.5,10,9,12.21428571,A+,Good
2,0,86,92,89,0,86.7790432801822,2,0,0,1,0,0,0,1.285714286,F,High-risk
0,94,100,97,86,97,92,8,0,4,8,2,0,0,8.142857143,C,High-risk
1,91,92,103,99,102,92,3,3,0,3,0,0,0,0.857142857,F,High-risk
0,89,85,95,89,90,102,6,10,10,9,9,10,9,12.42857143,A-,OK
0,79,103,98,98,107,96,5,3,4,9,9,9,9,10.92857143,B+,OK
0,97,110,98,95,105,107,5,9,6,8,10,10,9,10.28571429,A,Good
0,84,71,69,74,85,77,3,4,6,6,0,7,0,4.285714286,F,High-risk
0,55,93,66.5,83,91,95,5,4,0,4,6,2,0,5.357142857,D-,High-risk
0,69.5,94,53,94,104,107,5,4,4,8,7,0,0,7.5,C,High-risk
0,75,89,70,104,0,87,5,6,10,7,9,9,0,11.78571429,D-,High-risk
0,43,86,82,85,93,91,5,3,9,9,9.5,10,8,6.428571429,C,High-risk
0,81,79,97,87,80,88,4,9,5,0,7,5,6,4.714285714,C,High-risk
5,56,95,25,0,74,73,5,0,0,0,0,0,0,2.571428571,F,High-risk
0,103,96,97,91,87,98,7,9,6,9,9,10,9,12.42857143,A,Good
0,98,100,86.5,55,97,70,3,4,6,7,0,0,0,13.28571429,B-,OK
0,83.8241685144124,86.7316666666667,84.0044345898004,84.608574610245,89,86.7790432801822,7,5.85269174040708,6,5.96128318584071,6.90686169932633,6.32199566081831,5.3959034993282,0,F,High-risk
2,101,93,101,103,106,94,5,9,10,6,10,9,9,9.857142857,B+,OK
0,93,97,89,92,84,92,0,6,0,0,0,5,9,6.857142857,C+,High-risk
3,103,91,65,95,104,92,0,1,4,8,6,0,0,4.285714286,D,High-risk
0,71,110,50,73,0,86.7790432801822,6,9,0,5,0,0,0,9.428571429,F,High-risk
0,94,100,91.5,82,98,59,6,2,6,7,0,0,0,12,D-,High-risk
0,71,98,74,0,0,86.7790432801822,1,0,0,0,0,0,0,4.5,F,High-risk
0,91,100,98,89,102,98,4,7,6,7,9,10,9,12.42857143,B-,OK
0,62,78,70,52,68,59,1,1,5,0,5,0,1,6.428571429,F,High-risk
0,91.5,81,96,96,100,97,7,6,6,8,0,5,7,8.571428571,B-,OK
0,63,100,101,100,108,101,4,10,6,8,7.5,9,10,8.357142857,B,OK
0,92,92,82,98,100,106,2,4,10,0,0,0,8,14.14285714,B,OK
0,58,77,87.5,85,108,92,2,3,1,7,7,0,3,6.428571429,D+,High-risk
0,68,72,84,79.5,75,96,5,8,7,8,0,0,0,10.71428571,C-,High-risk
0,100,97,100,96,108,91,7,4,6,8,9,6,3,9,B-,OK
0,77.5,90,105,98,106,106,5,5,6,1,9.5,10,9,13.5,A-,OK
0,97,106,68.5,89,92,78,4,8,3,8,0,6,0,13.5,C-,High-risk
0,80,95,90,91,98,110,5,10,6,7,9,5,8,9.857142857,A-,OK
0,52,95,0,0,0,86.7790432801822,8,10,6,5,6.5,9,8,8.142857143,F,High-risk
1,94,109,96,95,107,101,3,8,0,7,8,5,8,9,B,OK
0,81,91,84,81,81,103,6,6,7,9,7,0,0,8.142857143,C,High-risk
2,75,98,80,100,96,82,2,6,0,8,0,0,0,3.857142857,F,High-risk
0,53,80,76,89,94,93,4,8,4,7,9,9,5,8.785714286,C+,High-risk
0,73,95,98,91,90,96,4,5,6,7,9.5,9,6,12.42857143,B,OK
5,102,103,105,100,108,97,6,4,6,10,7.5,7,6,11.14285714,A-,OK
0,79.5,81,81,87,88,99,6,5,5,8,5,10,7,10.5,B,OK
1,77,92,82,79,82,102,6,8,0,8,9,10,9,12.64285714,C+,High-risk
0,91,99,96,86,99,92,7,10,6,10,10,8,10,11.57142857,A,Good
5,103,100,98,104,84,98,10,8,9,8,9,9,9,15,A+,Good
0,94,108,78,95,97,100,1,9,0,0,0,0,0,3,C-,High-risk
5,50,0,94,95,102,86.7790432801822,4,0,4,3,8.5,0,0,6,F,High-risk
0,88,100,83,90,102,94,2,5,0,10,9.5,9,7,7.928571429,B,OK
0,103,108,107,101,108,110,6,3,6,10,9.5,10,1,14.14285714,A+,Good
0,102,96,103,103,106,93,4,6,5,6,7,7,4,9.857142857,A-,OK
0,95,91,96.5,91,94,101,4,8,6,9,10,10,0,10.71428571,B,OK
0,100,106,79,103,106,108,4,6,0,9,8,5,1,8.571428571,A-,OK
0,104,99,85,103,103,93,2,7,6,10,8,4,8,6,B,OK
0,94,108,76.5,91,105,99,3,0,0,0,0,7,0,1.285714286,D,High-risk
0,83,94,99,105,97,106,5,4,6,10,9,10,9,9,A,Good
1,107,111,106,97,89,105,10,7,1,10,8,9,10,15.8571428571,B+,OK
1,105,96,113,108,111,111,0,0,0,0,0,0,0,9.4285714286,B,OK
0,75,92,63,98,104,104,5,0,0,4,0,0,0,4.7142857143,D,High-risk
0,56,91,46.5,64,93,74,3,3,3,4,8,4,2,6,F,High-risk
0,105,78,76,78,98,63,6,7,10,4,10,8,9,10.7142857143,C,High-risk
0,90,95,68,100,86,90,6,4,10,4,4,5,6,8.1428571429,D,High-risk
1,89,101,103,105,108,107,10,10,6,7,6,8,5,11.1428571429,B,OK
1,108,106,105,90,99,103,10,9,10,9,10,9,10,14.1428571429,A+,Good
0,99,112,103,99.5,105,99,10,9,7,9,10,9,10,17.1428571429,A,Good
