days online,views,contributions,questions,notes,answers,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,Lab 11,Lab 12,Lab 13,Lab 14,Lab 15,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6,Midterm,Grade
0,0,0,0,0,0,100,100,100,100,99,100,100,100,100,99,97,100,100,100,100,80,105,105,102.5,83,81,40,OK
65,59,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,110,77,100,77,99.5,41,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,110,100,99,90,96,50,Good
21,58,1,1,0,0,100,99,100,100,100,100,99,100,100,100,99,100,100,100,100,53,100,67.5,93,70,67,47,OK
0,0,0,0,0,0,100,99,100,100,100,100,0,100,100,0,97,100,100,100,100,100,95,65,100,58.5,90,28,High-risk
0,0,0,0,0,0,99,99,99,99,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
8,21,1,1,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,99,90,87,45,Good
9,15,0,0,0,0,100,100,100,100,98,99,100,100,100,100,100,100,98,100,100,96,109,97,107.5,94,93,48,Good
6,8,2,2,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,96,96,110,85,90,35,OK
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33,100,106,110,110,94,47,Good
11,10,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73.5,100,67,100,49,88,30,OK
10,24,2,1,0,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,80,92,94,86.5,90,47,OK
10,33,1,1,0,0,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,105,82,30,OK
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,76,100,67,100,49,86,32,OK
0,0,0,0,0,0,100,100,99,99,98,99.5,0,100,100,100,100,99.5,100,100,100,90,100,94,85,89,0,30,High-risk
35,13,0,0,0,0,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,81,53,90,100,80,60,50,OK
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,110,100,105,95,98,50,Good
0,0,0,0,0,0,99,96.5494505494506,98.8076923076923,98.7362637362637,98,94.3406593406593,86,90,92,80,92,92.3791208791209,90,89,87,77.2142857142857,91.9065934065934,82.1043956043956,91.532967032967,77.1648351648352,73.9615384615385,37,High-risk
5,3,0,0,0,0,100,100,100,100,98,99.5,100,100,100,100,100,100,98,100,100,97,109,97,107.5,94,92,42,Good
8,29,1,1,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,90,70,100,55,80,35,High-risk
7,8,1,1,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,105,95,87,50,Good
14,26,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,115,99,50,Good
0,0,0,0,0,0,99,96.5494505494506,98.8076923076923,98.7362637362637,98,94.3406593406593,86,90,92,80,92,92.3791208791209,90,89,87,77.2142857142857,91.9065934065934,82.1043956043956,91.532967032967,77.1648351648352,73.9615384615385,37,OK
3,20,2,1,0,1,100,100,100,99,100,99,100,100,100,100,97,100,99,100,100,89,107,100,88,103,98,26,Good
5,22,3,2,0,0,100,100,100,100,100,0,100,100,100,100,99,100,100,100,100,92,95,65,100,58.5,84,27,High-risk
0,0,0,0,0,0,100,100,99,99,99,97.5,0,0,0,0,0,0,0,0,0,93,106,44,92,0,79,42,High-risk
9,39,0,0,0,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,90,75,20,90,45,93,30,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,0,100,100,100,97,100,100,100,100,99,107,69.5,98,70,84,41,OK
0,0,0,0,0,0,100,100,100,100,100,0,0,100,0,0,0,0,0,0,0,65,78,92,95.5,93.5,83,32,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,100,0,100,0,0,0,0,0,100,36,98,100,85,66,75,28,High-risk
0,0,0,0,0,0,100,100,100,100,100,99,100,100,100,100,99,100,100,100,100,79,100,105,107.5,99,92,46,Good
