index,Homework 1,Homework 2,Homework 3,Quiz 1 ,Quiz 2 ,Quiz 3,Quiz 4 ,Quiz 5 ,Midterm,Grade
191,103,91,65,0,1,4,8,6,4.28571429,High-risk
192,94,100,91.5,6,2,6,7,0,12,High-risk
193,91,100,98,4,7,6,7,9,12.4285714,OK
194,62,78,70,1,1,5,0,5,6.42857143,High-risk
195,91.5,81,96,7,6,6,8,0,8.57142857,OK
196,63,100,101,4,10,6,8,7.5,8.35714286,OK
197,92,92,82,2,4,10,0,0,14.1428571,OK
198,58,77,87.5,2,3,1,7,7,6.42857143,High-risk
199,68,72,84,5,8,7,8,0,10.7142857,High-risk
200,100,97,100,7,4,6,8,9,9,OK
201,77.5,90,105,5,5,6,1,9.5,13.5,OK
202,97,106,68.5,4,8,3,8,0,13.5,High-risk
203,80,95,90,5,10,6,7,9,9.85714286,OK
204,94,109,96,3,8,0,7,8,9,OK
205,81,91,84,6,6,7,9,7,8.14285714,High-risk
206,75,98,80,2,6,0,8,0,3.85714286,High-risk
207,53,80,76,4,8,4,7,9,8.78571429,High-risk
208,73,95,98,4,5,6,7,9.5,12.4285714,OK
209,102,103,105,6,4,6,10,7.5,11.1428571,Good
210,79.5,81,81,6,5,5,8,5,10.5,OK
211,77,92,82,6,8,0,8,9,12.6428571,High-risk
212,91,99,96,7,10,6,10,10,11.5714286,Good
213,103,100,98,10,8,9,8,9,15,Good
214,94,108,78,1,9,0,0,0,3,High-risk
215,88,100,83,2,5,0,10,9.5,7.92857143,OK
216,103,108,107,6,3,6,10,9.5,14.1428571,Good
217,102,96,103,4,6,5,6,7,9.85714286,Good
218,95,91,96.5,4,8,6,9,10,10.7142857,OK
219,100,106,79,4,6,0,9,8,8.57142857,OK
220,104,99,85,2,7,6,10,8,6,OK
221,94,108,76.5,3,0,0,0,0,1.28571429,High-risk
222,83,94,99,5,4,6,10,9,9,Good
223,107,111,106,10,7,1,10,8,15.85714286,OK
224,105,96,113,0,0,0,0,0,9.428571429,OK
225,75,92,63,5,0,0,4,0,4.714285714,High-risk
226,56,91,46.5,3,3,3,4,8,6,High-risk
227,105,78,76,6,7,10,4,10,10.71428571,High-risk
228,90,95,68,6,4,10,4,4,8.142857143,High-risk
229,89,101,103,10,10,6,7,6,11.14285714,OK
230,108,106,105,10,9,10,9,10,14.14285714,Good
231,99,112,103,10,9,7,9,10,17.14285714,Good
232,90,86,0,7,6,6,4,4,8.571428571,High-risk
233,71,89,104,5,7,3,0,0,6,High-risk
234,105,90,97,6,10,7,8,8,15,OK
235,92,85,105,4,8,7,9,8,12.42857143,OK
236,0,0,0,0,0,0,0,0,0,High-risk
237,88.2,92,110,6,1,7,2,7,9.857142857,High-risk
238,70,98,66.5,3,8,2,7,4,6.428571429,High-risk
239,98,89,88,6,9,10,5,10,16.28571429,Good
240,96,103,101,7,0,7,6,6,11.57142857,OK
241,43,88,87.5,1,9,7,4,6,3.428571429,High-risk
242,72,85,69,6,0,5,2,8,9.428571429,High-risk
243,84,98,78,8,0,6,9,6,8.571428571,High-risk
244,98,105,98,10,2,10,5,10,14.57142857,Good
245,89,86,84,5,4,1,9,6,9.428571429,High-risk
246,100,105,108.5,10,6,6,6,5,15,Good
247,100,76,81,10,7,4,3,9,12.42857143,OK
248,99,85,77,2,7,10,6,10,10.71428571,OK
249,74,80,48,0,1,0,0,1,4.714285714,High-risk
250,79,99,96,6,9,7,7,10,15.85714286,OK
251,107,104,97,10,10,10,8,10,14.14285714,Good
252,94,81,99.5,10,5,10,9,9,16.71428571,OK
253,102,87,89,10,5,3,8,10,14.57142857,Good
254,83,113,108,10,10,6,10,10,17.14285714,Good
255,96,96,72,6,3,7,4,3,8.142857143,High-risk
256,97,101,101,5,7,5,5,4,10.71428571,High-risk
257,108,116,106,10,7,10,9,6,13.71428571,Good
258,97,72,56,8,6,6,0,4,10.28571429,High-risk
259,103,99,102,10,6,7,9,8,11.14285714,OK
260,66,85,69,1,7,10,2,8,9.857142857,High-risk
261,86,98,77,6,3,7,6,9,15.42857143,OK
262,101,75,0,7,8,5,9,0,11.57142857,High-risk
263,102,102,105,7,10,10,10,10,16.28571429,Good
264,102,98,97,6,9,7,7,6,10.71428571,OK
265,21,86,40,1,0,7,4,4,1.285714286,High-risk
266,81,105,98.5,5,7,6,3,9,13.28571429,OK
267,109,112,98,10,7,7,8,8,13.28571429,Good
268,93,112,97,7,3,3,5,7,12.42857143,OK
269,102,111,92,10,9,10,9,4,14.57142857,Good
270,93,100,102,6,8,2,3,0,7.714285714,High-risk
271,101,103,79,8,7,7,9,8,14.57142857,OK
272,109,104,108,10,7,0,10,8,13.28571429,Good
273,80,90,75,6,3,10,6,8,11.57142857,High-risk
274,62,90,88,4,4,5,3,6,3.857142857,High-risk
275,92,117,88,10,6,10,3,0,8.142857143,High-risk
276,57,98,77.5,4,0,6,9,6,5.571428571,High-risk
277,83,94,79,10,5,5,3,4,7.714285714,High-risk
278,70,57,33,6,9,10,8,6,9,High-risk
279,87,94,92,6,1,6,4,4,9.857142857,High-risk
280,91,58,96.5,6,1,7,2,6,9.857142857,High-risk
281,109,90,109,10,6,6,10,10,14.57142857,High-risk
282,101,106,73,7,9,3,2,6,2.142857143,High-risk
283,93,0,0,7,4,10,3,5,6.857142857,High-risk
284,47,59,77,3,0,7,10,8,3.857142857,High-risk
285,53,59,58,10,4,0,8,5,8.142857143,High-risk
286,96,118,99,10,10,10,3,4,19.28571429,Good
287,93,104,106,6,4,4,5,8,13.92857143,Good
288,73,105,62,6,2,0,0,0,6,High-risk
289,90,88,46,4,0,0,4,0,3,High-risk
290,104,71,86.5,10,6,10,2,2,12.85714286,OK
291,83,91,95,6,8,7,3,4,8.571428571,High-risk
292,108,105,89,10,7,7,6,10,16.71428571,Good
293,69,97,56,2,3,2,2,2,4.285714286,High-risk
294,95,100,104,6,8,10,7,6,14.14285714,OK
295,103,98,108,6,10,10,10,10,16.28571429,Good
296,79,40,77,7,6,7,6,8,12.85714286,High-risk
297,57,74,76,10,4,10,8,6,6.857142857,High-risk
298,0,0,0,0,0,0,0,0,0,High-risk
299,89,62,68,8,8,7,0,5,10.28571429,High-risk
300,109,107,112,6,9,9,10,0,16.28571429,Good
301,98,76,88,8,6,5,10,6,13.28571429,OK
302,95,81,95,7,8,7,5,6,11.57142857,OK
303,110,114,114,10,10,10,10,10,19.28571429,Good
304,0,104,115,0,0,0,2,0,0,High-risk
305,103,100,100,6,0,0,0,0,10.71428571,High-risk
306,97,80,93,8,9,6,6,10,15,OK
307,78,95,82,5,0,7,5,6,7.714285714,High-risk
308,92,109,113,10,2,10,8,10,15.85714286,Good
309,88,86,76,4,1,5,3,6,5.142857143,High-risk
310,81,75,79,3,6,8,10,10,10.6363636,High-risk
311,71,70,78,5,6,7,10,10,8.04545455,High-risk
312,65,88,74,7,7,8,4,9,7.90909091,High-risk
313,43,0,0,0,0,0,0,0,0,High-risk
314,97,100,77,9,7,10,10,9,9.81818182,OK
315,90,91,79,5,6,9,10,7,10.3636364,OK
316,72,80,78,0,4,8,5,5,8.18181818,High-risk
317,83,87,81,3,3,9,7,10,6.27272727,High-risk
318,53,68,90,7,6,10,9,10,6.81818182,High-risk
319,69,83,99,10,4,7,7,10,10.9090909,High-risk
320,87,95,82,7,6,6,10,10,8.18181818,High-risk
321,95,99,107,10,10,9,10,10,15.8181818,Good
322,57,82,82,9,7,9,9,5,7.36363636,High-risk
323,40,89,76,10,6,7,10,9,9.81818182,High-risk
324,91,106,87,10,10,0,10,10,12.8181818,Good
325,102,98,103,3,8,8,10,10,10.3636364,OK
326,47,68,71,1,3,7,10,9,6.81818182,High-risk
327,102,95,87,10,6,8,10,10,13.9090909,Good
328,70,65,71,0,6,9,6,0,7.90909091,High-risk
329,88,86,87,0,6,7,10,8,6,High-risk
330,31,54,66,7,5,5,9,8,6.81818182,High-risk
331,95,103,90,9,7,9,5,4,7.09090909,High-risk
332,93,85,91,10,8,8,10,10,13.3636364,OK
333,84,87,89,10,7,7,10,8,9.54545455,OK
334,19,34,63,0,8,9,10,8,9.13636364,High-risk
335,84,90,83,5,9,10,10,10,10.7727273,OK
336,88,91,103,0,0,8,10,10,5.72727273,High-risk
337,99,98,104,1,7,10,10,10,10.0909091,OK
338,104,108,102,10,8,10,10,10,12.8181818,Good
339,96,107,90,5,8,9,10,8,12.2727273,OK
340,92,94,70,6,6,9,10,10,5.72727273,High-risk
341,85,96,96,10,5,10,10,10,12.6818182,Good
342,87,70,72,7,4,0,8,6,8.18181818,High-risk
343,24,23,16,0,5,9,8,0,5.45454546,High-risk
344,101,98,103,10,8,9,10,10,12,Good
345,94,90,92,10,7,10,10,10,13.3636364,Good
346,69,77,83,5,7,10,10,10,9.54545455,High-risk
347,98,108,100,10,10,9,10,10,11.4545455,Good
348,78,96,76,5,4,6,8,5,4.90909091,High-risk
349,102,110,105,10,9,9,10,10,13.0909091,Good
350,70,98,80,5,9,8,10,10,13.6363636,OK
351,91,70,62,0,0,5,9,0,7.90909091,High-risk
352,100,84,80,1,5,10,9,8,6.27272727,High-risk
353,88,95,81,9,7,0,10,0,12.8181818,High-risk
354,72,95,89,9,8,0,9,0,6,High-risk
355,78,77,73,5,8,9,10,9,11.1818182,High-risk
356,100,109,94,4,7,9,10,8,7.36363636,High-risk
357,102,91,78,9,9,8,10,10,13.3636364,OK
358,51,62,73,5,5,5,10,10,5.18181818,High-risk
359,100,106,97,8,9,9,9,9,7.90909091,OK
360,67,86,59,3,5,4,0,0,7.63636364,High-risk
361,102,103,90,9,6,9,8,9,12,High-risk
362,76,92,72,10,5,10,8,10,6.13636364,High-risk
363,96,96,96,10,9,10,10,10,12.8181818,Good
364,103,104,104,9,8,10,10,10,10.6363636,Good
365,80,65,68,10,9,9,10,10,10.6363636,High-risk
366,81,92,103,8,7,8,10,8,7.90909091,OK
367,71,89,80,5,8,8,10,8,8.18181818,High-risk
368,76,81,59,7,7,9,6,10,5.45454546,High-risk
369,93,106,103,10,7,9,10,10,13.9090909,Good
370,84,76,77,7,4,4,5,10,6.54545455,High-risk
371,87,77,78,9,8,5,8,8,8.72727273,High-risk
372,102,107,102,10,9,9,10,10,13.7727273,Good
