index,Homework 1,Homework 2,Homework 3,Homework 4 ,Quiz 7,Midterm,Grade
284,47,59,77,94,4,3.857142857,High-risk
285,53,59,58,68,0,8.142857143,High-risk
286,96,118,99,102,5,19.28571429,Good
287,93,104,106,108,9,13.92857143,Good
288,73,105,62,75,0,6,High-risk
289,90,88,46,96,0,3,High-risk
290,104,71,86.5,98,8,12.85714286,OK
291,83,91,95,84,6,8.571428571,High-risk
292,108,105,89,98,9,16.71428571,Good
293,69,97,56,87,3,4.285714286,High-risk
294,95,100,104,96,7,14.14285714,OK
295,103,98,108,110,9,16.28571429,Good
296,79,40,77,58,6,12.85714286,High-risk
297,57,74,76,75,5,6.857142857,High-risk
298,0,0,0,0,0,0,High-risk
299,89,62,68,99,5,10.28571429,High-risk
300,109,107,112,110,0,16.28571429,Good
301,98,76,88,91,9,13.28571429,OK
302,95,81,95,85,6,11.57142857,OK
303,110,114,114,115,10,19.28571429,Good
304,0,104,115,106,0,0,High-risk
305,103,100,100,92,0,10.71428571,High-risk
306,97,80,93,104,10,15,OK
307,78,95,82,90,0,7.714285714,High-risk
308,92,109,113,99,9,15.85714286,Good
309,88,86,76,104,10,5.142857143,High-risk
310,81,75,79,89,9,10.6363636,High-risk
311,71,70,78,78,7,8.04545455,High-risk
312,65,88,74,94,7,7.90909091,High-risk
313,43,0,0,0,0,0,High-risk
314,97,100,77,100,9,9.81818182,OK
315,90,91,79,105,9,10.3636364,OK
316,72,80,78,61,4,8.18181818,High-risk
317,83,87,81,63,7,6.27272727,High-risk
318,53,68,90,72,8,6.81818182,High-risk
319,69,83,99,91,8,10.9090909,High-risk
320,87,95,82,94,7,8.18181818,High-risk
321,95,99,107,106,10,15.8181818,Good
322,57,82,82,75,9,7.36363636,High-risk
323,40,89,76,78,8,9.81818182,High-risk
324,91,106,87,101,10,12.8181818,Good
325,102,98,103,100,10,10.3636364,OK
326,47,68,71,71,9,6.81818182,High-risk
327,102,95,87,100,10,13.9090909,Good
328,70,65,71,74,0,7.90909091,High-risk
329,88,86,87,82,7,6,High-risk
330,31,54,66,52,8,6.81818182,High-risk
331,95,103,90,0,0,7.09090909,High-risk
332,93,85,91,96,10,13.3636364,OK
333,84,87,89,97,10,9.54545455,OK
334,19,34,63,85,10,9.13636364,High-risk
335,84,90,83,93,9,10.7727273,OK
336,88,91,103,97,8,5.72727273,High-risk
337,99,98,104,103,10,10.0909091,OK
338,104,108,102,93,9,12.8181818,Good
339,96,107,90,89,10,12.2727273,OK
340,92,94,70,96,9,5.72727273,High-risk
341,85,96,96,100,10,12.6818182,Good
342,87,70,72,94,6,8.18181818,High-risk
343,24,23,16,0,0,5.45454546,High-risk
344,101,98,103,99,10,12,Good
345,94,90,92,97,10,13.3636364,Good
346,69,77,83,84,8,9.54545455,High-risk
347,98,108,100,100,9,11.4545455,Good
348,78,96,76,85,8,4.90909091,High-risk
349,102,110,105,102,10,13.0909091,Good
350,70,98,80,99,7,13.6363636,OK
351,91,70,62,83,0,7.90909091,High-risk
352,100,84,80,74,9,6.27272727,High-risk
353,88,95,81,90,0,12.8181818,High-risk
354,72,95,89,82,0,6,High-risk
355,78,77,73,84,10,11.1818182,High-risk
356,100,109,94,105,9,7.36363636,High-risk
357,102,91,78,94,10,13.3636364,OK
358,51,62,73,80,8,5.18181818,High-risk
359,100,106,97,94,8,7.90909091,OK
360,67,86,59,99,5,7.63636364,High-risk
361,102,103,90,96,8,12,High-risk
362,76,92,72,84,10,6.13636364,High-risk
363,96,96,96,96,10,12.8181818,Good
364,103,104,104,97,10,10.6363636,Good
365,80,65,68,77,0,10.6363636,High-risk
366,81,92,103,98,10,7.90909091,OK
367,71,89,80,84,9,8.18181818,High-risk
368,76,81,59,86,0,5.45454546,High-risk
369,93,106,103,102,8,13.9090909,Good
370,84,76,77,66,7,6.54545455,High-risk
371,87,77,78,83,7,8.72727273,High-risk
372,102,107,102,106,10,13.7727273,Good
