index,Homework 1,Homework 2,Quiz 1 ,Quiz 2 ,Quiz 3,Grade
286,96,118,10,10,10,Good
287,93,104,6,4,4,Good
288,73,105,6,2,0,High-risk
289,90,88,4,0,0,High-risk
290,104,71,10,6,10,OK
291,83,91,6,8,7,High-risk
292,108,105,10,7,7,Good
293,69,97,2,3,2,High-risk
294,95,100,6,8,10,OK
295,103,98,6,10,10,Good
296,79,40,7,6,7,High-risk
297,57,74,10,4,10,High-risk
298,0,0,0,0,0,High-risk
299,89,62,8,8,7,High-risk
300,109,107,6,9,9,Good
301,98,76,8,6,5,OK
302,95,81,7,8,7,OK
303,110,114,10,10,10,Good
304,0,104,0,0,0,High-risk
305,103,100,6,0,0,High-risk
306,97,80,8,9,6,OK
307,78,95,5,0,7,High-risk
308,92,109,10,2,10,Good
309,88,86,4,1,5,High-risk
310,81,75,3,6,8,High-risk
311,71,70,5,6,7,High-risk
312,65,88,7,7,8,High-risk
313,43,0,0,0,0,High-risk
314,97,100,9,7,10,OK
315,90,91,5,6,9,OK
316,72,80,0,4,8,High-risk
317,83,87,3,3,9,High-risk
318,53,68,7,6,10,High-risk
319,69,83,10,4,7,High-risk
320,87,95,7,6,6,High-risk
321,95,99,10,10,9,Good
322,57,82,9,7,9,High-risk
323,40,89,10,6,7,High-risk
324,91,106,10,10,0,Good
325,102,98,3,8,8,OK
326,47,68,1,3,7,High-risk
327,102,95,10,6,8,Good
328,70,65,0,6,9,High-risk
329,88,86,0,6,7,High-risk
330,31,54,7,5,5,High-risk
331,95,103,9,7,9,High-risk
332,93,85,10,8,8,OK
333,84,87,10,7,7,OK
334,19,34,0,8,9,High-risk
335,84,90,5,9,10,OK
336,88,91,0,0,8,High-risk
337,99,98,1,7,10,OK
338,104,108,10,8,10,Good
339,96,107,5,8,9,OK
340,92,94,6,6,9,High-risk
341,85,96,10,5,10,Good
342,87,70,7,4,0,High-risk
343,24,23,0,5,9,High-risk
344,101,98,10,8,9,Good
345,94,90,10,7,10,Good
346,69,77,5,7,10,High-risk
347,98,108,10,10,9,Good
348,78,96,5,4,6,High-risk
349,102,110,10,9,9,Good
350,70,98,5,9,8,OK
351,91,70,0,0,5,High-risk
352,100,84,1,5,10,High-risk
353,88,95,9,7,0,High-risk
354,72,95,9,8,0,High-risk
355,78,77,5,8,9,High-risk
356,100,109,4,7,9,High-risk
357,102,91,9,9,8,OK
358,51,62,5,5,5,High-risk
359,100,106,8,9,9,OK
360,67,86,3,5,4,High-risk
361,102,103,9,6,9,High-risk
362,76,92,10,5,10,High-risk
363,96,96,10,9,10,Good
364,103,104,9,8,10,Good
365,80,65,10,9,9,High-risk
366,81,92,8,7,8,OK
367,71,89,5,8,8,High-risk
368,76,81,7,7,9,High-risk
369,93,106,10,7,9,Good
370,84,76,7,4,4,High-risk
371,87,77,9,8,5,High-risk
372,102,107,10,9,9,Good
